raw_id,rank_title,role_normalized,company_std,location,location_std,pay_in_,salary_clean,salary_band,experience_level,years_experience_num
J2036,Security Compliance Manager,Manager,,Denmark,Denmark,101040,101040.0,100-150k,Entry-Level,
J2037,GRC Manager,Manager,,Germany,Germany,104945,104945.0,100-150k,Entry-Level,
J2038,Security Compliance Manager,Manager,,China,China,125486,125486.0,100-150k,Mid-Level,
J2039,Security Compliance Manager,Manager,,Canada,Canada,110580,110580.0,100-150k,Entry-Level,
J2040,GRC Manager,Manager,,Denmark,Denmark,96451,96451.0,70-100k,Senior,
J2041,Security Compliance Manager,Manager,,China,China,89995,89995.0,70-100k,Entry-Level,
J2042,Security Architect,Architect,,United Kingdom,United Kingdom,98343,98343.0,70-100k,Senior,
J2043,Security Compliance Manager,Manager,,Denmark,Denmark,87928,87928.0,70-100k,Senior,
J2044,Security Compliance Manager,Manager,,Canada,Canada,113986,113986.0,100-150k,Mid-Level,
J2045,GRC Manager,Manager,,New York,New York,94358,94358.0,70-100k,Senior,
J2046,Cloud Architect,Architect,,America,America,104502,104502.0,100-150k,Entry-Level,
J2047,Cloud Architect,Architect,,America,America,142507,142507.0,100-150k,Senior,
J2048,GRC Manager,Manager,,America,America,134588,134588.0,100-150k,Entry-Level,
J2049,GRC Manager,Manager,,America,America,82993,82993.0,70-100k,Senior,
J2050,Cloud Architect,Architect,,New York,New York,114046,114046.0,100-150k,Mid-Level,
J2051,Security Compliance Manager,Manager,,China,China,100863,100863.0,100-150k,Entry-Level,
J2052,Penetration Tester,Pentester,,America,America,102208,102208.0,100-150k,Mid-Level,
J2053,Penetration Tester,Pentester,,New York,New York,106194,106194.0,100-150k,Senior,
J2054,Penetration Tester,Pentester,,Denmark,Denmark,149292,149292.0,100-150k,Entry-Level,
J2055,GRC Manager,Manager,,China,China,133607,133607.0,100-150k,Entry-Level,
J2056,Cloud Architect,Architect,,Canada,Canada,112137,112137.0,100-150k,Entry-Level,
J2057,Security Consultant,Security Consultant,,America,America,128698,128698.0,100-150k,Mid-Level,
J2058,Security Consultant,Security Consultant,,America,America,110188,110188.0,100-150k,Entry-Level,
J2059,Security Consultant,Security Consultant,,Canada,Canada,108483,108483.0,100-150k,Entry-Level,
J2060,Cloud Architect,Architect,,China,China,116298,116298.0,100-150k,Mid-Level,
J2061,GRC Manager,Manager,,Germany,Germany,96849,96849.0,70-100k,Senior,
J2062,GRC Manager,Manager,,America,America,95065,95065.0,70-100k,Senior,
J2063,Security Compliance Manager,Manager,,New York,New York,130833,130833.0,100-150k,Senior,
J2064,Security Compliance Manager,Manager,,New York,New York,103714,103714.0,100-150k,Senior,
J2065,Security Compliance Manager,Manager,,Canada,Canada,106230,106230.0,100-150k,Senior,
J2066,Cloud Architect,Architect,,Denmark,Denmark,110591,110591.0,100-150k,Entry-Level,
J2067,Security Consultant,Security Consultant,,United Kingdom,United Kingdom,133588,133588.0,100-150k,Senior,
J2068,GRC Manager,Manager,,America,America,147574,147574.0,100-150k,Senior,
J2069,GRC Manager,Manager,,Germany,Germany,111711,111711.0,100-150k,Mid-Level,
J2070,Penetration Tester,Pentester,,America,America,106369,106369.0,100-150k,Entry-Level,
J2071,GRC Manager,Manager,,New York,New York,104644,104644.0,100-150k,Senior,
J2072,Security Consultant,Security Consultant,,Germany,Germany,90507,90507.0,70-100k,Senior,
J2073,Penetration Tester,Pentester,,Germany,Germany,147280,147280.0,100-150k,Mid-Level,
J2074,Security Architect,Architect,,United Kingdom,United Kingdom,87838,87838.0,70-100k,Entry-Level,
J2075,Security Architect,Architect,,Denmark,Denmark,103363,103363.0,100-150k,Mid-Level,
J2076,Penetration Tester,Pentester,,Denmark,Denmark,102523,102523.0,100-150k,Senior,
J2077,Penetration Tester,Pentester,,Canada,Canada,90495,90495.0,70-100k,Senior,
J2078,Security Compliance Manager,Manager,,New York,New York,116132,116132.0,100-150k,Senior,
J2079,Cloud Architect,Architect,,Germany,Germany,144999,144999.0,100-150k,Senior,
J2080,Security Compliance Manager,Manager,,United Kingdom,United Kingdom,104422,104422.0,100-150k,Senior,
J2081,Security Consultant,Security Consultant,,Germany,Germany,128382,128382.0,100-150k,Mid-Level,
J2082,Penetration Tester,Pentester,,Denmark,Denmark,113601,113601.0,100-150k,Mid-Level,
J2083,Security Compliance Manager,Manager,,United Kingdom,United Kingdom,111338,111338.0,100-150k,Entry-Level,
J2084,Penetration Tester,Pentester,,Denmark,Denmark,97774,97774.0,70-100k,Senior,
J2085,Security Compliance Manager,Manager,,United Kingdom,United Kingdom,116089,116089.0,100-150k,Mid-Level,
J2086,Security Consultant,Security Consultant,,New York,New York,114490,114490.0,100-150k,Senior,
J2087,Security Consultant,Security Consultant,,Canada,Canada,127450,127450.0,100-150k,Mid-Level,
J2088,Security Architect,Architect,,United Kingdom,United Kingdom,100144,100144.0,100-150k,Entry-Level,
J2089,GRC Manager,Manager,,Denmark,Denmark,98728,98728.0,70-100k,Senior,
J2090,Security Architect,Architect,,Canada,Canada,94760,94760.0,70-100k,Senior,
J2091,Cloud Architect,Architect,,United Kingdom,United Kingdom,103578,103578.0,100-150k,Senior,
J2092,Security Consultant,Security Consultant,,New York,New York,95364,95364.0,70-100k,Mid-Level,
J2093,Security Architect,Architect,,Canada,Canada,90730,90730.0,70-100k,Senior,
J2094,GRC Manager,Manager,,Canada,Canada,138947,138947.0,100-150k,Entry-Level,
J2095,Security Architect,Architect,,Canada,Canada,117131,117131.0,100-150k,Entry-Level,
J2096,Security Compliance Manager,Manager,,China,China,106841,106841.0,100-150k,Mid-Level,
J2097,GRC Manager,Manager,,Denmark,Denmark,114655,114655.0,100-150k,Senior,
J2098,GRC Manager,Manager,,Denmark,Denmark,88515,88515.0,70-100k,Senior,
J2099,Security Architect,Architect,,United Kingdom,United Kingdom,91374,91374.0,70-100k,Mid-Level,
J2100,Security Architect,Architect,,China,China,102868,102868.0,100-150k,Senior,
J2101,GRC Manager,Manager,,United Kingdom,United Kingdom,101276,101276.0,100-150k,Senior,
J2102,Penetration Tester,Pentester,,America,America,105317,105317.0,100-150k,Senior,
J2103,GRC Manager,Manager,,New York,New York,118733,118733.0,100-150k,Entry-Level,
J2104,Cloud Architect,Architect,,United Kingdom,United Kingdom,110478,110478.0,100-150k,Entry-Level,
J2105,Security Consultant,Security Consultant,,China,China,128575,128575.0,100-150k,Mid-Level,
J2106,Security Compliance Manager,Manager,,New York,New York,100941,100941.0,100-150k,Entry-Level,
J2107,Security Architect,Architect,,Germany,Germany,100740,100740.0,100-150k,Senior,
J2108,Security Architect,Architect,,Canada,Canada,101721,101721.0,100-150k,Senior,
J2109,Penetration Tester,Pentester,,New York,New York,102686,102686.0,100-150k,Entry-Level,
J2110,Security Architect,Architect,,America,America,106375,106375.0,100-150k,Entry-Level,
J2111,Penetration Tester,Pentester,,Germany,Germany,106603,106603.0,100-150k,Entry-Level,
J2112,Penetration Tester,Pentester,,Denmark,Denmark,111407,111407.0,100-150k,Entry-Level,
J2113,Cloud Architect,Architect,,Denmark,Denmark,142522,142522.0,100-150k,Senior,
J2114,Security Compliance Manager,Manager,,United Kingdom,United Kingdom,101758,101758.0,100-150k,Mid-Level,
J2115,Security Consultant,Security Consultant,,America,America,89907,89907.0,70-100k,Senior,
J2116,Security Compliance Manager,Manager,,Germany,Germany,110339,110339.0,100-150k,Mid-Level,
J2117,GRC Manager,Manager,,New York,New York,90321,90321.0,70-100k,Entry-Level,
J2118,Security Consultant,Security Consultant,,New York,New York,90409,90409.0,70-100k,Mid-Level,
J2119,Security Compliance Manager,Manager,,United Kingdom,United Kingdom,120345,120345.0,100-150k,Mid-Level,
J2120,GRC Manager,Manager,,America,America,112997,112997.0,100-150k,Senior,
J2121,Security Consultant,Security Consultant,,America,America,102065,102065.0,100-150k,Entry-Level,
J2122,Cloud Architect,Architect,,Denmark,Denmark,100279,100279.0,100-150k,Mid-Level,
J2123,Cloud Architect,Architect,,Denmark,Denmark,101495,101495.0,100-150k,Entry-Level,
J2124,GRC Manager,Manager,,United Kingdom,United Kingdom,93707,93707.0,70-100k,Senior,
J2125,Security Compliance Manager,Manager,,New York,New York,105470,105470.0,100-150k,Entry-Level,
J2126,GRC Manager,Manager,,United Kingdom,United Kingdom,93930,93930.0,70-100k,Mid-Level,
J2127,GRC Manager,Manager,,Germany,Germany,100000,100000.0,70-100k,Mid-Level,
J2128,GRC Manager,Manager,,Germany,Germany,103092,103092.0,100-150k,Senior,
J2129,Penetration Tester,Pentester,,America,America,111801,111801.0,100-150k,Mid-Level,
J2130,Cloud Architect,Architect,,New York,New York,97432,97432.0,70-100k,Mid-Level,
J2131,GRC Manager,Manager,,China,China,104447,104447.0,100-150k,Senior,
J2132,Cloud Architect,Architect,,United Kingdom,United Kingdom,107709,107709.0,100-150k,Entry-Level,
J2133,Security Architect,Architect,,Germany,Germany,104559,104559.0,100-150k,Mid-Level,
J2134,Security Consultant,Security Consultant,,Germany,Germany,78020,78020.0,70-100k,Senior,
J2135,Security Compliance Manager,Manager,,United Kingdom,United Kingdom,113827,113827.0,100-150k,Entry-Level,
J2136,Cloud Architect,Architect,,Canada,Canada,132112,132112.0,100-150k,Mid-Level,
J2137,Security Consultant,Security Consultant,,China,China,109625,109625.0,100-150k,Entry-Level,
J2138,GRC Manager,Manager,,New York,New York,103108,103108.0,100-150k,Mid-Level,
J2139,Security Consultant,Security Consultant,,Denmark,Denmark,116477,116477.0,100-150k,Senior,
J2140,Security Consultant,Security Consultant,,United Kingdom,United Kingdom,96343,96343.0,70-100k,Entry-Level,
J2141,Security Consultant,Security Consultant,,Germany,Germany,91672,91672.0,70-100k,Entry-Level,
J2142,Security Architect,Architect,,New York,New York,149562,149562.0,100-150k,Senior,
J2143,Security Architect,Architect,,Canada,Canada,112149,112149.0,100-150k,Senior,
J2144,Security Consultant,Security Consultant,,Denmark,Denmark,122494,122494.0,100-150k,Mid-Level,
J2145,Cloud Architect,Architect,,Denmark,Denmark,88304,88304.0,70-100k,Senior,
J2146,Cloud Architect,Architect,,Denmark,Denmark,93891,93891.0,70-100k,Senior,
J2147,Security Consultant,Security Consultant,,United Kingdom,United Kingdom,109812,109812.0,100-150k,Mid-Level,
J2148,Penetration Tester,Pentester,,America,America,112271,112271.0,100-150k,Senior,
J2149,Security Consultant,Security Consultant,,China,China,109417,109417.0,100-150k,Entry-Level,
J2150,Security Architect,Architect,,Germany,Germany,103745,103745.0,100-150k,Senior,
J2151,Security Architect,Architect,,Denmark,Denmark,80021,80021.0,70-100k,Mid-Level,
J2152,Security Compliance Manager,Manager,,Canada,Canada,92950,92950.0,70-100k,Mid-Level,
J2153,Security Compliance Manager,Manager,,Canada,Canada,117471,117471.0,100-150k,Entry-Level,
J2154,Cloud Architect,Architect,,Germany,Germany,107140,107140.0,100-150k,Entry-Level,
J2155,Penetration Tester,Pentester,,New York,New York,99648,99648.0,70-100k,Senior,
J2156,Penetration Tester,Pentester,,America,America,122501,122501.0,100-150k,Senior,
J2157,Security Architect,Architect,,America,America,96407,96407.0,70-100k,Senior,
J2158,Cloud Architect,Architect,,New York,New York,119405,119405.0,100-150k,Entry-Level,
J2159,GRC Manager,Manager,,Denmark,Denmark,96164,96164.0,70-100k,Entry-Level,
J2160,Penetration Tester,Pentester,,China,China,114952,114952.0,100-150k,Entry-Level,
J2161,Security Architect,Architect,,America,America,94999,94999.0,70-100k,Mid-Level,
J2162,Cloud Architect,Architect,,New York,New York,105485,105485.0,100-150k,Entry-Level,
J2163,Penetration Tester,Pentester,,Canada,Canada,102148,102148.0,100-150k,Entry-Level,
J2164,Security Architect,Architect,,Denmark,Denmark,108503,108503.0,100-150k,Mid-Level,
J2165,Cloud Architect,Architect,,New York,New York,96748,96748.0,70-100k,Entry-Level,
J2166,GRC Manager,Manager,,China,China,103500,103500.0,100-150k,Senior,
J2167,Penetration Tester,Pentester,,America,America,94991,94991.0,70-100k,Mid-Level,
J2168,Security Consultant,Security Consultant,,China,China,88503,88503.0,70-100k,Entry-Level,
J2169,Security Compliance Manager,Manager,,United Kingdom,United Kingdom,102517,102517.0,100-150k,Entry-Level,
J2170,Security Architect,Architect,,America,America,111201,111201.0,100-150k,Senior,
J2171,Security Architect,Architect,,Canada,Canada,108917,108917.0,100-150k,Mid-Level,
J2172,Cloud Architect,Architect,,Canada,Canada,101958,101958.0,100-150k,Senior,
J2173,Security Consultant,Security Consultant,,United Kingdom,United Kingdom,90759,90759.0,70-100k,Mid-Level,
J2174,Security Architect,Architect,,America,America,87236,87236.0,70-100k,Mid-Level,
J2175,GRC Manager,Manager,,Germany,Germany,99233,99233.0,70-100k,Entry-Level,
J2176,Security Architect,Architect,,Germany,Germany,95418,95418.0,70-100k,Senior,
J2177,Penetration Tester,Pentester,,New York,New York,91584,91584.0,70-100k,Senior,
J2178,Penetration Tester,Pentester,,United Kingdom,United Kingdom,100760,100760.0,100-150k,Senior,
J2179,Security Consultant,Security Consultant,,China,China,105906,105906.0,100-150k,Senior,
J2180,Security Compliance Manager,Manager,,China,China,116911,116911.0,100-150k,Senior,
J2181,Penetration Tester,Pentester,,China,China,89568,89568.0,70-100k,Mid-Level,
J2182,Security Compliance Manager,Manager,,Denmark,Denmark,103495,103495.0,100-150k,Mid-Level,
J2183,Security Consultant,Security Consultant,,America,America,119218,119218.0,100-150k,Mid-Level,
J2184,Security Architect,Architect,,Canada,Canada,81186,81186.0,70-100k,Senior,
J2185,Security Compliance Manager,Manager,,Germany,Germany,94354,94354.0,70-100k,Entry-Level,
J2186,Penetration Tester,Pentester,,New York,New York,118342,118342.0,100-150k,Mid-Level,
J2187,Cloud Architect,Architect,,China,China,107067,107067.0,100-150k,Entry-Level,
J2188,Penetration Tester,Pentester,,Denmark,Denmark,95837,95837.0,70-100k,Entry-Level,
J2189,Penetration Tester,Pentester,,United Kingdom,United Kingdom,81650,81650.0,70-100k,Mid-Level,
J2190,Cloud Architect,Architect,,Canada,Canada,107401,107401.0,100-150k,Entry-Level,
J2191,Cloud Architect,Architect,,Canada,Canada,92794,92794.0,70-100k,Entry-Level,
J2192,Security Compliance Manager,Manager,,New York,New York,109350,109350.0,100-150k,Mid-Level,
J2193,Security Compliance Manager,Manager,,Denmark,Denmark,90453,90453.0,70-100k,Mid-Level,
J2194,Security Architect,Architect,,Denmark,Denmark,96888,96888.0,70-100k,Mid-Level,
J2195,Security Consultant,Security Consultant,,Germany,Germany,98134,98134.0,70-100k,Mid-Level,
J2196,Security Architect,Architect,,New York,New York,95814,95814.0,70-100k,Mid-Level,
J2197,Penetration Tester,Pentester,,Germany,Germany,137767,137767.0,100-150k,Senior,
J2198,GRC Manager,Manager,,Denmark,Denmark,91333,91333.0,70-100k,Senior,
J2199,Penetration Tester,Pentester,,China,China,118471,118471.0,100-150k,Mid-Level,
J2200,Security Compliance Manager,Manager,,United Kingdom,United Kingdom,110648,110648.0,100-150k,Senior,
J2201,Cloud Architect,Architect,,Canada,Canada,106695,106695.0,100-150k,Senior,
J2202,Security Compliance Manager,Manager,,China,China,90695,90695.0,70-100k,Mid-Level,
J2203,Cloud Architect,Architect,,Denmark,Denmark,97105,97105.0,70-100k,Entry-Level,
J2204,Penetration Tester,Pentester,,China,China,129728,129728.0,100-150k,Entry-Level,
J2205,GRC Manager,Manager,,Germany,Germany,105963,105963.0,100-150k,Entry-Level,
J2206,Penetration Tester,Pentester,,New York,New York,95636,95636.0,70-100k,Mid-Level,
J2207,Security Compliance Manager,Manager,,Denmark,Denmark,81979,81979.0,70-100k,Senior,
J2208,GRC Manager,Manager,,China,China,109772,109772.0,100-150k,Entry-Level,
J2209,Security Architect,Architect,,China,China,90087,90087.0,70-100k,Senior,
J2210,Security Compliance Manager,Manager,,United Kingdom,United Kingdom,80581,80581.0,70-100k,Mid-Level,
J2211,GRC Manager,Manager,,United Kingdom,United Kingdom,125985,125985.0,100-150k,Entry-Level,
J2212,Security Consultant,Security Consultant,,Germany,Germany,116177,116177.0,100-150k,Mid-Level,
J2213,GRC Manager,Manager,,Canada,Canada,99110,99110.0,70-100k,Mid-Level,
J2214,GRC Manager,Manager,,China,China,108068,108068.0,100-150k,Entry-Level,
J2215,Security Compliance Manager,Manager,,America,America,100903,100903.0,100-150k,Senior,
J2216,Penetration Tester,Pentester,,Denmark,Denmark,103286,103286.0,100-150k,Senior,
J2217,Penetration Tester,Pentester,,New York,New York,105495,105495.0,100-150k,Mid-Level,
J2218,Security Consultant,Security Consultant,,United Kingdom,United Kingdom,140168,140168.0,100-150k,Entry-Level,
J2219,GRC Manager,Manager,,New York,New York,104797,104797.0,100-150k,Senior,
J2220,Security Compliance Manager,Manager,,Germany,Germany,112997,112997.0,100-150k,Senior,
J2221,Security Consultant,Security Consultant,,New York,New York,77029,77029.0,70-100k,Entry-Level,
J2222,Security Consultant,Security Consultant,,Denmark,Denmark,100346,100346.0,100-150k,Mid-Level,
J2223,Cloud Architect,Architect,,New York,New York,122891,122891.0,100-150k,Senior,
J2224,Cloud Architect,Architect,,Denmark,Denmark,100918,100918.0,100-150k,Senior,
J2225,Security Architect,Architect,,New York,New York,130000,130000.0,100-150k,Mid-Level,
J2226,GRC Manager,Manager,,Canada,Canada,80736,80736.0,70-100k,Entry-Level,
J2227,GRC Manager,Manager,,Denmark,Denmark,117173,117173.0,100-150k,Entry-Level,
J2228,Security Architect,Architect,,United Kingdom,United Kingdom,109549,109549.0,100-150k,Entry-Level,
J2229,Security Architect,Architect,,New York,New York,118424,118424.0,100-150k,Mid-Level,
J2230,Penetration Tester,Pentester,,China,China,92706,92706.0,70-100k,Entry-Level,
J2231,GRC Manager,Manager,,Canada,Canada,83075,83075.0,70-100k,Senior,
J2232,Security Architect,Architect,,Canada,Canada,113388,113388.0,100-150k,Senior,
J2233,GRC Manager,Manager,,New York,New York,117708,117708.0,100-150k,Mid-Level,
J2234,Cloud Architect,Architect,,Germany,Germany,84522,84522.0,70-100k,Mid-Level,
J2235,Security Architect,Architect,,United Kingdom,United Kingdom,108184,108184.0,100-150k,Senior,
J2236,Security Architect,Architect,,Canada,Canada,89394,89394.0,70-100k,Entry-Level,
J2237,Security Compliance Manager,Manager,,America,America,120200,120200.0,100-150k,Senior,
J2238,Security Architect,Architect,,China,China,96578,96578.0,70-100k,Senior,
J2239,Cloud Architect,Architect,,Denmark,Denmark,110061,110061.0,100-150k,Entry-Level,
J2240,Security Architect,Architect,,China,China,106554,106554.0,100-150k,Senior,
J2241,Penetration Tester,Pentester,,United Kingdom,United Kingdom,90918,90918.0,70-100k,Mid-Level,
J2242,Penetration Tester,Pentester,,Canada,Canada,94893,94893.0,70-100k,Senior,
J2243,GRC Manager,Manager,,America,America,94211,94211.0,70-100k,Senior,
J2244,Cloud Architect,Architect,,New York,New York,107612,107612.0,100-150k,Entry-Level,
J2245,Security Consultant,Security Consultant,,Canada,Canada,96328,96328.0,70-100k,Senior,
J2246,Penetration Tester,Pentester,,United Kingdom,United Kingdom,108442,108442.0,100-150k,Mid-Level,
J2247,Security Consultant,Security Consultant,,Canada,Canada,119328,119328.0,100-150k,Senior,
J2248,Security Consultant,Security Consultant,,America,America,84364,84364.0,70-100k,Senior,
J2249,Cloud Architect,Architect,,America,America,105322,105322.0,100-150k,Senior,
J2250,GRC Manager,Manager,,Germany,Germany,109961,109961.0,100-150k,Senior,
J2251,GRC Manager,Manager,,America,America,92372,92372.0,70-100k,Senior,
J2252,Security Consultant,Security Consultant,,Germany,Germany,88985,88985.0,70-100k,Mid-Level,
J2253,Security Architect,Architect,,United Kingdom,United Kingdom,118718,118718.0,100-150k,Entry-Level,
J2254,Cloud Architect,Architect,,Canada,Canada,88726,88726.0,70-100k,Mid-Level,
J2255,Penetration Tester,Pentester,,United Kingdom,United Kingdom,88220,88220.0,70-100k,Entry-Level,
J2256,Security Architect,Architect,,New York,New York,91361,91361.0,70-100k,Mid-Level,
J2257,Security Consultant,Security Consultant,,New York,New York,95172,95172.0,70-100k,Entry-Level,
J2258,Security Architect,Architect,,New York,New York,108019,108019.0,100-150k,Mid-Level,
J2259,Cloud Architect,Architect,,China,China,98784,98784.0,70-100k,Mid-Level,
J2260,Security Compliance Manager,Manager,,Germany,Germany,129969,129969.0,100-150k,Mid-Level,
J2261,GRC Manager,Manager,,Denmark,Denmark,128182,128182.0,100-150k,Mid-Level,
J2262,Cloud Architect,Architect,,New York,New York,97245,97245.0,70-100k,Mid-Level,
J2263,Penetration Tester,Pentester,,Germany,Germany,91053,91053.0,70-100k,Senior,
J2264,Security Consultant,Security Consultant,,United Kingdom,United Kingdom,105038,105038.0,100-150k,Senior,
J2265,Security Architect,Architect,,Denmark,Denmark,104143,104143.0,100-150k,Senior,
J2266,GRC Manager,Manager,,China,China,85004,85004.0,70-100k,Mid-Level,
J2267,GRC Manager,Manager,,United Kingdom,United Kingdom,101999,101999.0,100-150k,Senior,
J2268,Penetration Tester,Pentester,,New York,New York,87556,87556.0,70-100k,Mid-Level,
J2269,Penetration Tester,Pentester,,America,America,131852,131852.0,100-150k,Senior,
J2270,Penetration Tester,Pentester,,New York,New York,125386,125386.0,100-150k,Senior,
J2271,Penetration Tester,Pentester,,Denmark,Denmark,94067,94067.0,70-100k,Senior,
J2272,Security Compliance Manager,Manager,,China,China,100034,100034.0,100-150k,Senior,
J2273,Cloud Architect,Architect,,China,China,81013,81013.0,70-100k,Entry-Level,
J2274,Security Consultant,Security Consultant,,Canada,Canada,139158,139158.0,100-150k,Senior,
J2275,Security Architect,Architect,,China,China,89613,89613.0,70-100k,Senior,
J2276,GRC Manager,Manager,,China,China,126623,126623.0,100-150k,Mid-Level,
J2277,Security Consultant,Security Consultant,,United Kingdom,United Kingdom,97727,97727.0,70-100k,Entry-Level,
J2278,Security Compliance Manager,Manager,,Denmark,Denmark,106799,106799.0,100-150k,Entry-Level,
J2279,GRC Manager,Manager,,America,America,90617,90617.0,70-100k,Mid-Level,
J2280,Security Compliance Manager,Manager,,America,America,95439,95439.0,70-100k,Entry-Level,
J2281,Penetration Tester,Pentester,,New York,New York,99190,99190.0,70-100k,Mid-Level,
J2282,Security Consultant,Security Consultant,,Germany,Germany,109670,109670.0,100-150k,Mid-Level,
J2283,Security Architect,Architect,,Canada,Canada,86336,86336.0,70-100k,Entry-Level,
J2284,Security Compliance Manager,Manager,,United Kingdom,United Kingdom,99176,99176.0,70-100k,Senior,
J2285,Cloud Architect,Architect,,Germany,Germany,102506,102506.0,100-150k,Senior,
J2286,Cloud Architect,Architect,,United Kingdom,United Kingdom,89446,89446.0,70-100k,Entry-Level,
J2287,GRC Manager,Manager,,United Kingdom,United Kingdom,102257,102257.0,100-150k,Entry-Level,
J2288,Security Architect,Architect,,China,China,113511,113511.0,100-150k,Mid-Level,
J2289,Security Compliance Manager,Manager,,Germany,Germany,108262,108262.0,100-150k,Mid-Level,
J2290,Cloud Architect,Architect,,China,China,115499,115499.0,100-150k,Entry-Level,
J2291,Security Compliance Manager,Manager,,Canada,Canada,146846,146846.0,100-150k,Entry-Level,
J2292,GRC Manager,Manager,,Canada,Canada,89837,89837.0,70-100k,Senior,
J2293,Cloud Architect,Architect,,United Kingdom,United Kingdom,104025,104025.0,100-150k,Mid-Level,
J2294,GRC Manager,Manager,,Denmark,Denmark,106315,106315.0,100-150k,Mid-Level,
J2295,Security Architect,Architect,,Denmark,Denmark,103718,103718.0,100-150k,Entry-Level,
J2296,Penetration Tester,Pentester,,New York,New York,117788,117788.0,100-150k,Senior,
J2297,Security Architect,Architect,,United Kingdom,United Kingdom,125668,125668.0,100-150k,Senior,
J2298,Security Compliance Manager,Manager,,Canada,Canada,127523,127523.0,100-150k,Entry-Level,
J2299,Security Compliance Manager,Manager,,China,China,100257,100257.0,100-150k,Mid-Level,
J2300,Security Architect,Architect,,Germany,Germany,95097,95097.0,70-100k,Mid-Level,
J2301,Penetration Tester,Pentester,,China,China,110299,110299.0,100-150k,Entry-Level,
J2302,Security Consultant,Security Consultant,,United Kingdom,United Kingdom,113811,113811.0,100-150k,Senior,
J2303,GRC Manager,Manager,,Denmark,Denmark,119879,119879.0,100-150k,Mid-Level,
J2304,Security Compliance Manager,Manager,,Germany,Germany,111760,111760.0,100-150k,Entry-Level,
J2305,Security Compliance Manager,Manager,,China,China,101057,101057.0,100-150k,Entry-Level,
J2306,Penetration Tester,Pentester,,Germany,Germany,85049,85049.0,70-100k,Mid-Level,
J2307,Security Consultant,Security Consultant,,Canada,Canada,91775,91775.0,70-100k,Senior,
