Rank_ID,Rank_Title,Working Area,Pay in ($),Location,Experience Level,Certification Required,Key Skills
J2071,GRC Manager,Network Monitoring and Security,104644,New York,Senior,CCNA,Vulnerability Assessment
J2072,Security Consultant,Network Monitoring and Security,90507,Germany,Senior,Ethical Hacking,Threat Management
J2073,Penetration Tester,Security Manager,147280,Germany,Mid-Level,Ethical Hacking,Secure Software
J2074,Security Architect,Network Monitoring and Security,87838,United Kingdom,Entry-Level,CCIE,Secure Software
J2075,Security Architect,Penetration Tester,103363,Denmark,Mid-Level,CCNA,Threat Management
J2076,Penetration Tester,GRC,102523,Denmark,Senior,CCNA,Linux
J2077,Penetration Tester,Network Monitoring and Security,90495,Canada,Senior,CISSP,Mitigation
J2078,Security Compliance Manager,Cloud Security and Architect,116132,New York,Senior,CISSP,Mitigation
J2079,Cloud Architect,GRC,144999,Germany,Senior,Ethical Hacking,Threat Management
J2080,Security Compliance Manager,Incident Takeover,104422,United Kingdom,Senior,CCIE,Mitigation
J2081,Security Consultant,Cloud Security and Architect,128382,Germany,Mid-Level,CISSP,Linux
J2082,Penetration Tester,Cloud Security and Architect,113601,Denmark,Mid-Level,CCIE,Threat Management
J2083,Security Compliance Manager,Network Monitoring and Security,111338,United Kingdom,Entry-Level,CISSP,Secure Software
J2084,Penetration Tester,GRC,97774,Denmark,Senior,CISSP,Secure Software
J2085,Security Compliance Manager,Penetration Tester,116089,United Kingdom,Mid-Level,CompTIA Security+,Vulnerability Assessment
J2086,Security Consultant,Security Manager,114490,New York,Senior,CISSP,Mitigation
J2087,Security Consultant,GRC,127450,Canada,Mid-Level,CompTIA Security+,Python
J2088,Security Architect,Penetration Tester,100144,United Kingdom,Entry-Level,CISSP,Threat Management
J2089,GRC Manager,GRC,98728,Denmark,Senior,CCNA,Mitigation
J2090,Security Architect,Security Manager,94760,Canada,Senior,CISSP,Mitigation
J2091,Cloud Architect,Network Monitoring and Security,103578,United Kingdom,Senior,CompTIA Security+,Linux
J2092,Security Consultant,Network Monitoring and Security,95364,New York,Mid-Level,CISSP,Linux
J2093,Security Architect,Incident Takeover,90730,Canada,Senior,CCNA,Threat Management
J2094,GRC Manager,Network Monitoring and Security,138947,Canada,Entry-Level,CCNA,Vulnerability Assessment
J2095,Security Architect,Security Manager,117131,Canada,Entry-Level,CISSP,Python
J2096,Security Compliance Manager,Network Monitoring and Security,106841,China,Mid-Level,CCNA,Secure Software
J2097,GRC Manager,GRC,114655,Denmark,Senior,CISSP,Threat Management
J2098,GRC Manager,Cloud Security and Architect,88515,Denmark,Senior,Ethical Hacking,Threat Management
J2099,Security Architect,Security Manager,91374,United Kingdom,Mid-Level,Ethical Hacking,Linux
J2100,Security Architect,Cloud Security and Architect,102868,China,Senior,CISSP,Secure Software
J2101,GRC Manager,Network Monitoring and Security,101276,United Kingdom,Senior,CCIE,Mitigation
J2102,Penetration Tester,Incident Takeover,105317,America,Senior,CompTIA Security+,Python
J2103,GRC Manager,GRC,118733,New York,Entry-Level,CISSP,Threat Management
J2104,Cloud Architect,Application and Web Security,110478,United Kingdom,Entry-Level,CCIE,Python
J2105,Security Consultant,Penetration Tester,128575,China,Mid-Level,CompTIA Security+,Mitigation
J2106,Security Compliance Manager,Penetration Tester,100941,New York,Entry-Level,CompTIA Security+,Python
J2107,Security Architect,Network Monitoring and Security,100740,Germany,Senior,CCNA,Vulnerability Assessment
J2108,Security Architect,Application and Web Security,101721,Canada,Senior,Ethical Hacking,Linux
J2109,Penetration Tester,Cloud Security and Architect,102686,New York,Entry-Level,CCNA,Python
J2110,Security Architect,Incident Takeover,106375,America,Entry-Level,Ethical Hacking,Vulnerability Assessment
J2111,Penetration Tester,GRC,106603,Germany,Entry-Level,CCIE,Python
J2112,Penetration Tester,Cloud Security and Architect,111407,Denmark,Entry-Level,CCNA,Threat Management
J2113,Cloud Architect,Application and Web Security,142522,Denmark,Senior,Ethical Hacking,Linux
J2114,Security Compliance Manager,Security Manager,101758,United Kingdom,Mid-Level,CISSP,Python
J2115,Security Consultant,Security Manager,89907,America,Senior,CompTIA Security+,Secure Software
J2116,Security Compliance Manager,Application and Web Security,110339,Germany,Mid-Level,Ethical Hacking,Mitigation
J2117,GRC Manager,Application and Web Security,90321,New York,Entry-Level,CISSP,Mitigation
J2118,Security Consultant,Application and Web Security,90409,New York,Mid-Level,CISSP,Secure Software
J2119,Security Compliance Manager,Incident Takeover,120345,United Kingdom,Mid-Level,Ethical Hacking,Mitigation
J2120,GRC Manager,Security Manager,112997,America,Senior,CompTIA Security+,Python
J2121,Security Consultant,Application and Web Security,102065,America,Entry-Level,CCNA,Python
J2122,Cloud Architect,Security Manager,100279,Denmark,Mid-Level,CCNA,Vulnerability Assessment
J2123,Cloud Architect,Incident Takeover,101495,Denmark,Entry-Level,CISSP,Python
J2124,GRC Manager,Security Manager,93707,United Kingdom,Senior,CCIE,Linux
J2125,Security Compliance Manager,Incident Takeover,105470,New York,Entry-Level,CCIE,Mitigation
J2126,GRC Manager,Network Monitoring and Security,93930,United Kingdom,Mid-Level,CCIE,Mitigation
J2127,GRC Manager,GRC,100000,Germany,Mid-Level,CompTIA Security+,Python
J2128,GRC Manager,Incident Takeover,103092,Germany,Senior,CompTIA Security+,Secure Software
J2129,Penetration Tester,Penetration Tester,111801,America,Mid-Level,Ethical Hacking,Vulnerability Assessment
J2130,Cloud Architect,Network Monitoring and Security,97432,New York,Mid-Level,CISSP,Vulnerability Assessment
J2131,GRC Manager,Incident Takeover,104447,China,Senior,CISSP,Vulnerability Assessment
J2132,Cloud Architect,GRC,107709,United Kingdom,Entry-Level,CISSP,Vulnerability Assessment
J2133,Security Architect,Network Monitoring and Security,104559,Germany,Mid-Level,CISSP,Vulnerability Assessment
J2134,Security Consultant,GRC,78020,Germany,Senior,CCNA,Vulnerability Assessment
J2135,Security Compliance Manager,Incident Takeover,113827,United Kingdom,Entry-Level,CCNA,Secure Software
J2136,Cloud Architect,Security Manager,132112,Canada,Mid-Level,Ethical Hacking,Threat Management
J2137,Security Consultant,Incident Takeover,109625,China,Entry-Level,CompTIA Security+,Threat Management
J2138,GRC Manager,Penetration Tester,103108,New York,Mid-Level,CCIE,Vulnerability Assessment
J2139,Security Consultant,Cloud Security and Architect,116477,Denmark,Senior,CCNA,Mitigation
J2140,Security Consultant,Penetration Tester,96343,United Kingdom,Entry-Level,Ethical Hacking,Threat Management
J2141,Security Consultant,Penetration Tester,91672,Germany,Entry-Level,CCIE,Python
J2142,Security Architect,Penetration Tester,149562,New York,Senior,Ethical Hacking,Secure Software
J2143,Security Architect,GRC,112149,Canada,Senior,CCNA,Threat Management
J2144,Security Consultant,Network Monitoring and Security,122494,Denmark,Mid-Level,CCNA,Linux
J2145,Cloud Architect,Network Monitoring and Security,88304,Denmark,Senior,CISSP,Python
J2146,Cloud Architect,Security Manager,93891,Denmark,Senior,CISSP,Mitigation
J2147,Security Consultant,GRC,109812,United Kingdom,Mid-Level,Ethical Hacking,Secure Software
J2148,Penetration Tester,Application and Web Security,112271,America,Senior,CCIE,Secure Software
J2149,Security Consultant,GRC,109417,China,Entry-Level,CISSP,Linux
J2150,Security Architect,Security Manager,103745,Germany,Senior,CISSP,Vulnerability Assessment
J2151,Security Architect,Cloud Security and Architect,80021,Denmark,Mid-Level,CompTIA Security+,Secure Software
J2152,Security Compliance Manager,Penetration Tester,92950,Canada,Mid-Level,CCIE,Mitigation
J2153,Security Compliance Manager,Security Manager,117471,Canada,Entry-Level,CISSP,Mitigation
J2154,Cloud Architect,Network Monitoring and Security,107140,Germany,Entry-Level,CCIE,Python
J2155,Penetration Tester,Cloud Security and Architect,99648,New York,Senior,CCNA,Python
J2156,Penetration Tester,GRC,122501,America,Senior,CCNA,Threat Management
J2157,Security Architect,Cloud Security and Architect,96407,America,Senior,CompTIA Security+,Python
J2158,Cloud Architect,Penetration Tester,119405,New York,Entry-Level,CCNA,Secure Software
J2159,GRC Manager,Incident Takeover,96164,Denmark,Entry-Level,Ethical Hacking,Threat Management
J2160,Penetration Tester,Penetration Tester,114952,China,Entry-Level,CCNA,Vulnerability Assessment
J2161,Security Architect,Application and Web Security,94999,America,Mid-Level,CompTIA Security+,Secure Software
J2162,Cloud Architect,Security Manager,105485,New York,Entry-Level,CCNA,Mitigation
J2163,Penetration Tester,Security Manager,102148,Canada,Entry-Level,CCNA,Secure Software
J2164,Security Architect,Penetration Tester,108503,Denmark,Mid-Level,CISSP,Secure Software
J2165,Cloud Architect,Security Manager,96748,New York,Entry-Level,CCIE,Threat Management
J2166,GRC Manager,Incident Takeover,103500,China,Senior,CISSP,Vulnerability Assessment
J2167,Penetration Tester,Cloud Security and Architect,94991,America,Mid-Level,CISSP,Linux
J2168,Security Consultant,Application and Web Security,88503,China,Entry-Level,CCNA,Threat Management
J2169,Security Compliance Manager,Network Monitoring and Security,102517,United Kingdom,Entry-Level,Ethical Hacking,Linux
J2170,Security Architect,Incident Takeover,111201,America,Senior,CISSP,Secure Software
J2171,Security Architect,Cloud Security and Architect,108917,Canada,Mid-Level,CompTIA Security+,Threat Management
J2172,Cloud Architect,Cloud Security and Architect,101958,Canada,Senior,CCNA,Mitigation
J2173,Security Consultant,Security Manager,90759,United Kingdom,Mid-Level,Ethical Hacking,Mitigation
J2174,Security Architect,Security Manager,87236,America,Mid-Level,CCIE,Python
J2175,GRC Manager,Incident Takeover,99233,Germany,Entry-Level,Ethical Hacking,Threat Management
J2176,Security Architect,GRC,95418,Germany,Senior,CompTIA Security+,Linux
J2177,Penetration Tester,Application and Web Security,91584,New York,Senior,CCNA,Threat Management
J2178,Penetration Tester,Application and Web Security,100760,United Kingdom,Senior,CCNA,Vulnerability Assessment
J2179,Security Consultant,GRC,105906,China,Senior,Ethical Hacking,Linux
J2180,Security Compliance Manager,Penetration Tester,116911,China,Senior,CCIE,Threat Management
J2181,Penetration Tester,Cloud Security and Architect,89568,China,Mid-Level,CCIE,Secure Software
J2182,Security Compliance Manager,Incident Takeover,103495,Denmark,Mid-Level,CCIE,Linux
J2183,Security Consultant,Penetration Tester,119218,America,Mid-Level,CompTIA Security+,Threat Management
J2184,Security Architect,Security Manager,81186,Canada,Senior,CCIE,Mitigation
J2185,Security Compliance Manager,Cloud Security and Architect,94354,Germany,Entry-Level,Ethical Hacking,Threat Management
J2186,Penetration Tester,GRC,118342,New York,Mid-Level,Ethical Hacking,Mitigation
J2187,Cloud Architect,Incident Takeover,107067,China,Entry-Level,CCNA,Secure Software
J2188,Penetration Tester,Incident Takeover,95837,Denmark,Entry-Level,Ethical Hacking,Linux
J2189,Penetration Tester,Incident Takeover,81650,United Kingdom,Mid-Level,CompTIA Security+,Mitigation
J2190,Cloud Architect,Application and Web Security,107401,Canada,Entry-Level,CCNA,Python
J2191,Cloud Architect,GRC,92794,Canada,Entry-Level,CCNA,Secure Software
J2192,Security Compliance Manager,Security Manager,109350,New York,Mid-Level,CompTIA Security+,Secure Software
J2193,Security Compliance Manager,Penetration Tester,90453,Denmark,Mid-Level,CISSP,Python
J2194,Security Architect,Incident Takeover,96888,Denmark,Mid-Level,Ethical Hacking,Mitigation
J2195,Security Consultant,Cloud Security and Architect,98134,Germany,Mid-Level,CISSP,Secure Software
J2196,Security Architect,Cloud Security and Architect,95814,New York,Mid-Level,Ethical Hacking,Mitigation
J2197,Penetration Tester,Penetration Tester,137767,Germany,Senior,CCNA,Mitigation
J2198,GRC Manager,GRC,91333,Denmark,Senior,CompTIA Security+,Mitigation
J2199,Penetration Tester,Application and Web Security,118471,China,Mid-Level,CCNA,Mitigation
J2200,Security Compliance Manager,Application and Web Security,110648,United Kingdom,Senior,CompTIA Security+,Threat Management
J2201,Cloud Architect,Cloud Security and Architect,106695,Canada,Senior,CCIE,Mitigation
J2202,Security Compliance Manager,Network Monitoring and Security,90695,China,Mid-Level,CCNA,Threat Management
J2203,Cloud Architect,Network Monitoring and Security,97105,Denmark,Entry-Level,Ethical Hacking,Mitigation
J2204,Penetration Tester,Cloud Security and Architect,129728,China,Entry-Level,CompTIA Security+,Secure Software
J2205,GRC Manager,Application and Web Security,105963,Germany,Entry-Level,Ethical Hacking,Mitigation
J2206,Penetration Tester,GRC,95636,New York,Mid-Level,CCNA,Linux
J2207,Security Compliance Manager,Cloud Security and Architect,81979,Denmark,Senior,CCIE,Threat Management
J2208,GRC Manager,Penetration Tester,109772,China,Entry-Level,Ethical Hacking,Threat Management
J2209,Security Architect,GRC,90087,China,Senior,CCIE,Python
J2210,Security Compliance Manager,Security Manager,80581,United Kingdom,Mid-Level,CISSP,Linux
J2211,GRC Manager,GRC,125985,United Kingdom,Entry-Level,CISSP,Mitigation
J2212,Security Consultant,GRC,116177,Germany,Mid-Level,CCIE,Linux
J2213,GRC Manager,GRC,99110,Canada,Mid-Level,CompTIA Security+,Mitigation
J2214,GRC Manager,GRC,108068,China,Entry-Level,Ethical Hacking,Linux
J2215,Security Compliance Manager,Network Monitoring and Security,100903,America,Senior,CCNA,Linux
J2216,Penetration Tester,Incident Takeover,103286,Denmark,Senior,CompTIA Security+,Threat Management
J2217,Penetration Tester,Cloud Security and Architect,105495,New York,Mid-Level,CCNA,Linux
J2218,Security Consultant,Cloud Security and Architect,140168,United Kingdom,Entry-Level,Ethical Hacking,Mitigation
J2219,GRC Manager,Cloud Security and Architect,104797,New York,Senior,CCNA,Python
J2220,Security Compliance Manager,Application and Web Security,112997,Germany,Senior,CCNA,Linux
J2221,Security Consultant,Cloud Security and Architect,77029,New York,Entry-Level,CISSP,Linux
J2222,Security Consultant,Application and Web Security,100346,Denmark,Mid-Level,Ethical Hacking,Linux
J2223,Cloud Architect,Penetration Tester,122891,New York,Senior,CompTIA Security+,Python
J2224,Cloud Architect,Penetration Tester,100918,Denmark,Senior,CISSP,Vulnerability Assessment
J2225,Security Architect,Incident Takeover,130000,New York,Mid-Level,CCNA,Vulnerability Assessment
J2226,GRC Manager,Cloud Security and Architect,80736,Canada,Entry-Level,CompTIA Security+,Linux
J2227,GRC Manager,Network Monitoring and Security,117173,Denmark,Entry-Level,Ethical Hacking,Python
J2228,Security Architect,Incident Takeover,109549,United Kingdom,Entry-Level,Ethical Hacking,Vulnerability Assessment
J2229,Security Architect,Application and Web Security,118424,New York,Mid-Level,CISSP,Secure Software
J2230,Penetration Tester,Application and Web Security,92706,China,Entry-Level,CCNA,Linux
J2231,GRC Manager,GRC,83075,Canada,Senior,CompTIA Security+,Python
J2232,Security Architect,Cloud Security and Architect,113388,Canada,Senior,CCNA,Linux
J2233,GRC Manager,Application and Web Security,117708,New York,Mid-Level,CCIE,Vulnerability Assessment
J2234,Cloud Architect,Application and Web Security,84522,Germany,Mid-Level,CompTIA Security+,Linux
J2235,Security Architect,Penetration Tester,108184,United Kingdom,Senior,CompTIA Security+,Mitigation
J2236,Security Architect,Penetration Tester,89394,Canada,Entry-Level,CompTIA Security+,Vulnerability Assessment
J2237,Security Compliance Manager,Security Manager,120200,America,Senior,CISSP,Linux
J2238,Security Architect,Cloud Security and Architect,96578,China,Senior,CompTIA Security+,Secure Software
J2239,Cloud Architect,Application and Web Security,110061,Denmark,Entry-Level,CCIE,Python
J2240,Security Architect,Security Manager,106554,China,Senior,CCNA,Vulnerability Assessment
J2241,Penetration Tester,Incident Takeover,90918,United Kingdom,Mid-Level,Ethical Hacking,Threat Management
J2242,Penetration Tester,Application and Web Security,94893,Canada,Senior,CompTIA Security+,Mitigation
J2243,GRC Manager,Network Monitoring and Security,94211,America,Senior,CISSP,Threat Management
J2244,Cloud Architect,Application and Web Security,107612,New York,Entry-Level,CISSP,Python
J2245,Security Consultant,GRC,96328,Canada,Senior,CompTIA Security+,Secure Software
J2246,Penetration Tester,Network Monitoring and Security,108442,United Kingdom,Mid-Level,Ethical Hacking,Vulnerability Assessment
J2247,Security Consultant,Incident Takeover,119328,Canada,Senior,Ethical Hacking,Threat Management
J2248,Security Consultant,Cloud Security and Architect,84364,America,Senior,Ethical Hacking,Python
J2249,Cloud Architect,Security Manager,105322,America,Senior,CISSP,Mitigation
J2250,GRC Manager,Network Monitoring and Security,109961,Germany,Senior,CISSP,Mitigation
J2251,GRC Manager,Security Manager,92372,America,Senior,CompTIA Security+,Python
J2252,Security Consultant,Network Monitoring and Security,88985,Germany,Mid-Level,CCNA,Linux
J2253,Security Architect,GRC,118718,United Kingdom,Entry-Level,CCIE,Vulnerability Assessment
J2254,Cloud Architect,Application and Web Security,88726,Canada,Mid-Level,CCNA,Vulnerability Assessment
J2255,Penetration Tester,Security Manager,88220,United Kingdom,Entry-Level,CISSP,Linux
J2256,Security Architect,Application and Web Security,91361,New York,Mid-Level,CCNA,Vulnerability Assessment
J2257,Security Consultant,Cloud Security and Architect,95172,New York,Entry-Level,CCIE,Mitigation
J2258,Security Architect,Penetration Tester,108019,New York,Mid-Level,CompTIA Security+,Secure Software
J2259,Cloud Architect,Incident Takeover,98784,China,Mid-Level,CCIE,Threat Management
J2260,Security Compliance Manager,Cloud Security and Architect,129969,Germany,Mid-Level,CompTIA Security+,Vulnerability Assessment
J2261,GRC Manager,GRC,128182,Denmark,Mid-Level,CompTIA Security+,Python
J2262,Cloud Architect,Penetration Tester,97245,New York,Mid-Level,Ethical Hacking,Python
J2263,Penetration Tester,Network Monitoring and Security,91053,Germany,Senior,CCNA,Threat Management
J2264,Security Consultant,Application and Web Security,105038,United Kingdom,Senior,CCIE,Secure Software
J2265,Security Architect,GRC,104143,Denmark,Senior,CCNA,Vulnerability Assessment
J2266,GRC Manager,Penetration Tester,85004,China,Mid-Level,CCNA,Linux
J2267,GRC Manager,Incident Takeover,101999,United Kingdom,Senior,CISSP,Threat Management
J2268,Penetration Tester,Network Monitoring and Security,87556,New York,Mid-Level,CISSP,Mitigation
J2269,Penetration Tester,GRC,131852,America,Senior,CISSP,Secure Software
J2270,Penetration Tester,Application and Web Security,125386,New York,Senior,CCIE,Secure Software
J2271,Penetration Tester,Penetration Tester,94067,Denmark,Senior,CISSP,Python
J2272,Security Compliance Manager,GRC,100034,China,Senior,CCNA,Linux
J2273,Cloud Architect,Penetration Tester,81013,China,Entry-Level,CISSP,Mitigation
J2274,Security Consultant,GRC,139158,Canada,Senior,CompTIA Security+,Python
J2275,Security Architect,GRC,89613,China,Senior,CISSP,Secure Software
J2276,GRC Manager,Cloud Security and Architect,126623,China,Mid-Level,CISSP,Linux
J2277,Security Consultant,GRC,97727,United Kingdom,Entry-Level,CISSP,Vulnerability Assessment
J2278,Security Compliance Manager,Cloud Security and Architect,106799,Denmark,Entry-Level,CCNA,Threat Management
J2279,GRC Manager,Penetration Tester,90617,America,Mid-Level,CCIE,Python
J2280,Security Compliance Manager,Network Monitoring and Security,95439,America,Entry-Level,CISSP,Mitigation
J2281,Penetration Tester,Penetration Tester,99190,New York,Mid-Level,CISSP,Secure Software
J2282,Security Consultant,Security Manager,109670,Germany,Mid-Level,CCIE,Mitigation
J2283,Security Architect,Security Manager,86336,Canada,Entry-Level,CompTIA Security+,Linux
J2284,Security Compliance Manager,GRC,99176,United Kingdom,Senior,CompTIA Security+,Threat Management
J2285,Cloud Architect,Penetration Tester,102506,Germany,Senior,CCNA,Threat Management
J2286,Cloud Architect,Incident Takeover,89446,United Kingdom,Entry-Level,CompTIA Security+,Vulnerability Assessment
J2287,GRC Manager,Security Manager,102257,United Kingdom,Entry-Level,CISSP,Threat Management
J2288,Security Architect,GRC,113511,China,Mid-Level,CCNA,Vulnerability Assessment
J2289,Security Compliance Manager,GRC,108262,Germany,Mid-Level,Ethical Hacking,Python
J2290,Cloud Architect,GRC,115499,China,Entry-Level,CCIE,Vulnerability Assessment
J2291,Security Compliance Manager,Security Manager,146846,Canada,Entry-Level,Ethical Hacking,Threat Management
J2292,GRC Manager,Application and Web Security,89837,Canada,Senior,CompTIA Security+,Threat Management
J2293,Cloud Architect,Cloud Security and Architect,104025,United Kingdom,Mid-Level,CCNA,Secure Software
J2294,GRC Manager,Penetration Tester,106315,Denmark,Mid-Level,Ethical Hacking,Vulnerability Assessment
J2295,Security Architect,Application and Web Security,103718,Denmark,Entry-Level,CCNA,Threat Management
J2296,Penetration Tester,Cloud Security and Architect,117788,New York,Senior,CCIE,Threat Management
J2297,Security Architect,Security Manager,125668,United Kingdom,Senior,Ethical Hacking,Mitigation
J2298,Security Compliance Manager,GRC,127523,Canada,Entry-Level,CompTIA Security+,Threat Management
J2299,Security Compliance Manager,Incident Takeover,100257,China,Mid-Level,CompTIA Security+,Threat Management
J2300,Security Architect,Incident Takeover,95097,Germany,Mid-Level,CCNA,Secure Software
J2301,Penetration Tester,Penetration Tester,110299,China,Entry-Level,CCNA,Threat Management
J2302,Security Consultant,Incident Takeover,113811,United Kingdom,Senior,CISSP,Linux
J2303,GRC Manager,Network Monitoring and Security,119879,Denmark,Mid-Level,CCNA,Vulnerability Assessment
J2304,Security Compliance Manager,Incident Takeover,111760,Germany,Entry-Level,Ethical Hacking,Mitigation
J2305,Security Compliance Manager,Application and Web Security,101057,China,Entry-Level,CCNA,Secure Software
J2306,Penetration Tester,Application and Web Security,85049,Germany,Mid-Level,CCIE,Linux
J2307,Security Consultant,Network Monitoring and Security,91775,Canada,Senior,CCIE,Secure Software
J2308,GRC Manager,GRC,98448,United Kingdom,Entry-Level,CCNA,Threat Management
